subject,age,gender,sound,level,sequence,trial,item,time
2,23,M,b,off,ba,1,1,0.937
2,23,M,b,off,ba,1,2,1.040
2,23,M,b,off,ba,1,3,1.056
2,23,M,b,off,ba,1,4,0.895
2,23,M,b,off,ba,1,5,0.864
2,23,M,b,off,ba,1,6,0.960
2,23,M,b,off,ba,1,7,0.992
2,23,M,b,off,ba,1,8,0.959
2,23,M,b,off,ba,1,9,1.216
2,23,M,b,off,ba,1,10,0.912
2,23,M,b,off,ba,2,1,0.898
2,23,M,b,off,ba,2,2,1.105
2,23,M,b,off,ba,2,3,0.863
2,23,M,b,off,ba,2,4,1.535
2,23,M,b,off,ba,2,5,1.056
2,23,M,b,off,ba,2,6,1.104
2,23,M,b,off,ba,2,7,0.975
2,23,M,b,off,ba,2,8,1.583
2,23,M,b,off,ba,2,9,1.120
2,23,M,b,off,ba,2,10,0.959
2,23,M,b,off,ba,3,1,0.857
2,23,M,b,off,ba,3,2,0.832
2,23,M,b,off,ba,3,3,0.848
2,23,M,b,off,ba,3,4,0.879
2,23,M,b,off,ba,3,5,0.768
2,23,M,b,off,ba,3,6,0.816
2,23,M,b,off,ba,3,7,1.056
2,23,M,b,off,ba,3,8,1.072
2,23,M,b,off,ba,3,9,0.991
2,23,M,b,off,ba,3,10,0.880
2,23,M,b,off,ba,4,1,1.111
2,23,M,b,off,ba,4,2,0.864
2,23,M,b,off,ba,4,3,0.816
2,23,M,b,off,ba,4,4,1.184
2,23,M,b,off,ba,4,5,0.832
2,23,M,b,off,ba,4,6,1.055
2,23,M,b,off,ba,4,7,0.880
2,23,M,b,off,ba,4,8,0.863
2,23,M,b,off,ba,4,9,1.024
2,23,M,b,off,ba,4,10,0.879
2,23,M,b,off,ba,5,1,1.028
2,23,M,b,off,ba,5,2,1.072
2,23,M,b,off,ba,5,3,1.152
2,23,M,b,off,ba,5,4,0.848
2,23,M,b,off,ba,5,5,0.927
2,23,M,b,off,ba,5,6,0.800
2,23,M,b,off,ba,5,7,1.088
2,23,M,b,off,ba,5,8,1.119
2,23,M,b,off,ba,5,9,0.960
2,23,M,b,off,ba,5,10,0.960
2,23,M,b,on,ba,1,1,1.150
2,23,M,b,on,ba,1,2,0.960
2,23,M,b,on,ba,1,3,0.913
2,23,M,b,on,ba,1,4,1.136
2,23,M,b,on,ba,1,5,0.895
2,23,M,b,on,ba,1,6,3.051
2,23,M,b,on,ba,1,7,1.279
2,23,M,b,on,ba,1,8,1.008
2,23,M,b,on,ba,1,9,1.727
2,23,M,b,on,ba,1,10,1.167
2,23,M,b,on,ba,2,1,1.212
2,23,M,b,on,ba,2,2,1.296
2,23,M,b,on,ba,2,3,1.119
2,23,M,b,on,ba,2,4,1.104
2,23,M,b,on,ba,2,5,1.743
2,23,M,b,on,ba,2,6,1.471
2,23,M,b,on,ba,2,7,1.376
2,23,M,b,on,ba,2,8,1.551
2,23,M,b,on,ba,2,9,1.184
2,23,M,b,on,ba,2,10,0.865
2,23,M,b,on,ba,3,1,1.234
2,23,M,b,on,ba,3,2,0.880
2,23,M,b,on,ba,3,3,0.961
2,23,M,b,on,ba,3,4,1.023
2,23,M,b,on,ba,3,5,0.991
2,23,M,b,on,ba,3,6,1.120
2,23,M,b,on,ba,3,7,1.279
2,23,M,b,on,ba,3,8,1.072
2,23,M,b,on,ba,3,9,1.039
2,23,M,b,on,ba,3,10,0.960
2,23,M,b,on,ba,4,1,0.956
2,23,M,b,on,ba,4,2,1.072
2,23,M,b,on,ba,4,3,0.912
2,23,M,b,on,ba,4,4,1.455
2,23,M,b,on,ba,4,5,1.232
2,23,M,b,on,ba,4,6,1.967
2,23,M,b,on,ba,4,7,1.263
2,23,M,b,on,ba,4,8,1.329
2,23,M,b,on,ba,4,9,1.087
2,23,M,b,on,ba,4,10,0.832
2,23,M,b,on,ba,5,1,0.968
2,23,M,b,on,ba,5,2,0.896
2,23,M,b,on,ba,5,3,0.848
2,23,M,b,on,ba,5,4,1.119
2,23,M,b,on,ba,5,5,1.010
2,23,M,b,on,ba,5,6,1.150
2,23,M,b,on,ba,5,7,1.312
2,23,M,b,on,ba,5,8,0.993
2,23,M,b,on,ba,5,9,1.200
2,23,M,b,on,ba,5,10,1.087
2,23,M,a,off,ba,1,1,1.039
2,23,M,a,off,ba,1,2,1.056
2,23,M,a,off,ba,1,3,1.136
2,23,M,a,off,ba,1,4,0.960
2,23,M,a,off,ba,1,5,1.072
2,23,M,a,off,ba,1,6,1.057
2,23,M,a,off,ba,1,7,0.911
2,23,M,a,off,ba,1,8,0.944
2,23,M,a,off,ba,1,9,1.104
2,23,M,a,off,ba,1,10,1.008
2,23,M,a,off,ba,2,1,0.936
2,23,M,a,off,ba,2,2,0.943
2,23,M,a,off,ba,2,3,1.103
2,23,M,a,off,ba,2,4,1.087
2,23,M,a,off,ba,2,5,0.912
2,23,M,a,off,ba,2,6,0.944
2,23,M,a,off,ba,2,7,1.023
2,23,M,a,off,ba,2,8,0.960
2,23,M,a,off,ba,2,9,1.055
2,23,M,a,off,ba,2,10,0.945
2,23,M,a,off,ba,3,1,0.952
2,23,M,a,off,ba,3,2,0.944
2,23,M,a,off,ba,3,3,0.847
2,23,M,a,off,ba,3,4,1.248
2,23,M,a,off,ba,3,5,1.056
2,23,M,a,off,ba,3,6,1.119
2,23,M,a,off,ba,3,7,1.247
2,23,M,a,off,ba,3,8,1.088
2,23,M,a,off,ba,3,9,1.008
2,23,M,a,off,ba,3,10,0.960
2,23,M,a,off,ba,4,1,1.010
2,23,M,a,off,ba,4,2,0.864
2,23,M,a,off,ba,4,3,1.119
2,23,M,a,off,ba,4,4,1.024
2,23,M,a,off,ba,4,5,0.896
2,23,M,a,off,ba,4,6,0.848
2,23,M,a,off,ba,4,7,1.119
2,23,M,a,off,ba,4,8,1.136
2,23,M,a,off,ba,4,9,0.976
2,23,M,a,off,ba,4,10,0.912
2,23,M,a,off,ba,5,1,0.937
2,23,M,a,off,ba,5,2,1.199
2,23,M,a,off,ba,5,3,1.007
2,23,M,a,off,ba,5,4,0.960
2,23,M,a,off,ba,5,5,1.039
2,23,M,a,off,ba,5,6,0.991
2,23,M,a,off,ba,5,7,0.992
2,23,M,a,off,ba,5,8,0.991
2,23,M,a,off,ba,5,9,0.928
2,23,M,a,off,ba,5,10,1.104
2,23,M,a,on,ba,1,1,0.952
2,23,M,a,on,ba,1,2,1.007
2,23,M,a,on,ba,1,3,0.975
2,23,M,a,on,ba,1,4,1.264
2,23,M,a,on,ba,1,5,0.991
2,23,M,a,on,ba,1,6,0.864
2,23,M,a,on,ba,1,7,0.977
2,23,M,a,on,ba,1,8,1.135
2,23,M,a,on,ba,1,9,1.072
2,23,M,a,on,ba,1,10,1.040
2,23,M,a,on,ba,2,1,1.028
2,23,M,a,on,ba,2,2,0.944
2,23,M,a,on,ba,2,3,0.960
2,23,M,a,on,ba,2,4,0.991
2,23,M,a,on,ba,2,5,1.151
2,23,M,a,on,ba,2,6,1.136
2,23,M,a,on,ba,2,7,1.184
2,23,M,a,on,ba,2,8,1.200
2,23,M,a,on,ba,2,9,1.375
2,23,M,a,on,ba,2,10,0.992
2,23,M,a,on,ba,3,1,0.807
2,23,M,a,on,ba,3,2,0.928
2,23,M,a,on,ba,3,3,0.944
2,23,M,a,on,ba,3,4,0.944
2,23,M,a,on,ba,3,5,0.911
2,23,M,a,on,ba,3,6,1.008
2,23,M,a,on,ba,3,7,0.943
2,23,M,a,on,ba,3,8,1.024
2,23,M,a,on,ba,3,9,0.912
2,23,M,a,on,ba,3,10,1.056
2,23,M,a,on,ba,4,1,0.902
2,23,M,a,on,ba,4,2,1.024
2,23,M,a,on,ba,4,3,1.039
2,23,M,a,on,ba,4,4,1.087
2,23,M,a,on,ba,4,5,1.104
2,23,M,a,on,ba,4,6,0.992
2,23,M,a,on,ba,4,7,0.959
2,23,M,a,on,ba,4,8,0.912
2,23,M,a,on,ba,4,9,0.912
2,23,M,a,on,ba,4,10,0.895
2,23,M,a,on,ba,5,1,0.984
2,23,M,a,on,ba,5,2,0.832
2,23,M,a,on,ba,5,3,1.056
2,23,M,a,on,ba,5,4,0.832
2,23,M,a,on,ba,5,5,1.056
2,23,M,a,on,ba,5,6,0.961
2,23,M,a,on,ba,5,7,1.470
2,23,M,a,on,ba,5,8,1.088
2,23,M,a,on,ba,5,9,0.864
2,23,M,a,on,ba,5,10,0.992
3,28,M,b,off,ba,1,1,0.960
3,28,M,b,off,ba,1,2,1.120
3,28,M,b,off,ba,1,3,0.975
3,28,M,b,off,ba,1,4,1.504
3,28,M,b,off,ba,1,5,0.832
3,28,M,b,off,ba,1,6,1.471
3,28,M,b,off,ba,1,7,1.616
3,28,M,b,off,ba,1,8,1.008
3,28,M,b,off,ba,1,9,0.943
3,28,M,b,off,ba,1,10,1.455
3,28,M,b,off,ba,2,1,1.113
3,28,M,b,off,ba,2,2,1.024
3,28,M,b,off,ba,2,3,0.991
3,28,M,b,off,ba,2,4,0.944
3,28,M,b,off,ba,2,5,0.944
3,28,M,b,off,ba,2,6,1.263
3,28,M,b,off,ba,2,7,1.072
3,28,M,b,off,ba,2,8,1.073
3,28,M,b,off,ba,2,9,1.103
3,28,M,b,off,ba,2,10,1.471
3,28,M,b,off,ba,3,1,1.191
3,28,M,b,off,ba,3,2,1.055
3,28,M,b,off,ba,3,3,1.424
3,28,M,b,off,ba,3,4,1.887
3,28,M,b,off,ba,3,5,1.216
3,28,M,b,off,ba,3,6,1.631
